workbook,requested_view,twb_file,worksheet,column,class,filter_attrs_json,group_filters_json
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Características - Torta,[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:INDICADOR_NOMBRE (Indicadores):nk],categorical,"{""class"": ""categorical"", ""column"": ""[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:INDICADOR_NOMBRE (Indicadores):nk]"", ""filter-group"": ""7""}","[{""function"": ""level-members"", ""level"": ""[none:INDICADOR_NOMBRE (Indicadores):nk]"", ""{http://www.tableausoftware.com/xml/user}ui-enumeration"": ""all"", ""{http://www.tableausoftware.com/xml/user}ui-marker"": ""enumerate""}]"
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Características - Torta,[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:UNIDAD_GEOGRAFICA_NOMBRE:nk],categorical,"{""class"": ""categorical"", ""column"": ""[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:UNIDAD_GEOGRAFICA_NOMBRE:nk]"", ""filter-group"": ""17""}","[{""function"": ""level-members"", ""level"": ""[none:UNIDAD_GEOGRAFICA_NOMBRE:nk]"", ""{http://www.tableausoftware.com/xml/user}ui-enumeration"": ""all"", ""{http://www.tableausoftware.com/xml/user}ui-marker"": ""enumerate""}]"
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Características - Torta,[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:Visualizar Gráfico Jerarquía (copia)_1886797147614466070:qk],quantitative,"{""class"": ""quantitative"", ""column"": ""[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:Visualizar Gráfico Jerarquía (copia)_1886797147614466070:qk]"", ""included-values"": ""in-range-or-null""}",[]
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Características - Torta,[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:Visualizar Indicadores (copy)_4723009404679073821:nk],categorical,"{""class"": ""categorical"", ""column"": ""[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:Visualizar Indicadores (copy)_4723009404679073821:nk]"", ""filter-group"": ""12""}","[{""function"": ""member"", ""level"": ""[none:Visualizar Indicadores (copy)_4723009404679073821:nk]"", ""member"": ""true"", ""{http://www.tableausoftware.com/xml/user}ui-domain"": ""relevant"", ""{http://www.tableausoftware.com/xml/user}ui-enumeration"": ""inclusive"", ""{http://www.tableausoftware.com/xml/user}ui-marker"": ""enumerate""}]"
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Características - Título,[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[DATOS_DISTRIBUCIONES_1],categorical,"{""class"": ""categorical"", ""column"": ""[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[DATOS_DISTRIBUCIONES_1]"", ""filter-group"": ""26""}","[{""function"": ""level-members"", ""level"": ""[TIPO_DE_DATO]"", ""{http://www.tableausoftware.com/xml/user}ui-enumeration"": ""all"", ""{http://www.tableausoftware.com/xml/user}ui-marker"": ""enumerate""}]"
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Características - Título,[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:ANIO:ok],categorical,"{""class"": ""categorical"", ""column"": ""[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:ANIO:ok]"", ""filter-group"": ""6""}","[{""function"": ""level-members"", ""level"": ""[none:ANIO:ok]"", ""{http://www.tableausoftware.com/xml/user}ui-enumeration"": ""all"", ""{http://www.tableausoftware.com/xml/user}ui-marker"": ""enumerate""}]"
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Características - Título,[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:APERTURA_NIVEL_1:nk],categorical,"{""class"": ""categorical"", ""column"": ""[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:APERTURA_NIVEL_1:nk]"", ""filter-group"": ""11""}","[{""function"": ""level-members"", ""level"": ""[none:APERTURA_NIVEL_1:nk]"", ""{http://www.tableausoftware.com/xml/user}ui-enumeration"": ""all"", ""{http://www.tableausoftware.com/xml/user}ui-marker"": ""enumerate""}]"
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Características - Título,[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:Calculation_334673811823804420:nk],categorical,"{""class"": ""categorical"", ""column"": ""[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:Calculation_334673811823804420:nk]"", ""filter-group"": ""27""}","[{""function"": ""member"", ""level"": ""[none:Calculation_334673811823804420:nk]"", ""member"": ""true"", ""{http://www.tableausoftware.com/xml/user}ui-domain"": ""relevant"", ""{http://www.tableausoftware.com/xml/user}ui-enumeration"": ""inclusive"", ""{http://www.tableausoftware.com/xml/user}ui-marker"": ""enumerate""}]"
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Características - Título,[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:Calculation_334673811825987589:nk],categorical,"{""class"": ""categorical"", ""column"": ""[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:Calculation_334673811825987589:nk]"", ""filter-group"": ""8""}","[{""function"": ""member"", ""level"": ""[none:Calculation_334673811825987589:nk]"", ""member"": ""true"", ""{http://www.tableausoftware.com/xml/user}ui-domain"": ""relevant"", ""{http://www.tableausoftware.com/xml/user}ui-enumeration"": ""inclusive"", ""{http://www.tableausoftware.com/xml/user}ui-marker"": ""enumerate""}]"
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Características - Título,[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:INDICADOR_NOMBRE (Indicadores):nk],categorical,"{""class"": ""categorical"", ""column"": ""[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:INDICADOR_NOMBRE (Indicadores):nk]"", ""filter-group"": ""7""}","[{""function"": ""level-members"", ""level"": ""[none:INDICADOR_NOMBRE (Indicadores):nk]"", ""{http://www.tableausoftware.com/xml/user}ui-enumeration"": ""all"", ""{http://www.tableausoftware.com/xml/user}ui-marker"": ""enumerate""}]"
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Características - Título,[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:UNIDAD_GEOGRAFICA_NOMBRE:nk],categorical,"{""class"": ""categorical"", ""column"": ""[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:UNIDAD_GEOGRAFICA_NOMBRE:nk]"", ""filter-group"": ""17""}","[{""function"": ""level-members"", ""level"": ""[none:UNIDAD_GEOGRAFICA_NOMBRE:nk]"", ""{http://www.tableausoftware.com/xml/user}ui-enumeration"": ""all"", ""{http://www.tableausoftware.com/xml/user}ui-marker"": ""enumerate""}]"
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Características - Título,[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:Visualizar Indicadores (copy)_4723009404679073821:nk],categorical,"{""class"": ""categorical"", ""column"": ""[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:Visualizar Indicadores (copy)_4723009404679073821:nk]"", ""filter-group"": ""12""}","[{""function"": ""member"", ""level"": ""[none:Visualizar Indicadores (copy)_4723009404679073821:nk]"", ""member"": ""true"", ""{http://www.tableausoftware.com/xml/user}ui-domain"": ""relevant"", ""{http://www.tableausoftware.com/xml/user}ui-enumeration"": ""inclusive"", ""{http://www.tableausoftware.com/xml/user}ui-marker"": ""enumerate""}]"
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Características- Filtro Indicador,[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[DATOS_DISTRIBUCIONES_1],categorical,"{""class"": ""categorical"", ""column"": ""[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[DATOS_DISTRIBUCIONES_1]"", ""filter-group"": ""26""}","[{""function"": ""level-members"", ""level"": ""[TIPO_DE_DATO]"", ""{http://www.tableausoftware.com/xml/user}ui-enumeration"": ""all"", ""{http://www.tableausoftware.com/xml/user}ui-marker"": ""enumerate""}]"
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Características- Filtro Indicador,[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:ANIO:ok],categorical,"{""class"": ""categorical"", ""column"": ""[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:ANIO:ok]"", ""filter-group"": ""6""}","[{""function"": ""level-members"", ""level"": ""[none:ANIO:ok]"", ""{http://www.tableausoftware.com/xml/user}ui-enumeration"": ""all"", ""{http://www.tableausoftware.com/xml/user}ui-marker"": ""enumerate""}]"
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Características- Filtro Indicador,[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:APERTURA_NIVEL_1:nk],categorical,"{""class"": ""categorical"", ""column"": ""[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:APERTURA_NIVEL_1:nk]"", ""filter-group"": ""11""}","[{""function"": ""level-members"", ""level"": ""[none:APERTURA_NIVEL_1:nk]"", ""{http://www.tableausoftware.com/xml/user}ui-enumeration"": ""all"", ""{http://www.tableausoftware.com/xml/user}ui-marker"": ""enumerate""}]"
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Características- Filtro Indicador,[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:Calculation_334673811823804420:nk],categorical,"{""class"": ""categorical"", ""column"": ""[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:Calculation_334673811823804420:nk]"", ""filter-group"": ""27""}","[{""function"": ""member"", ""level"": ""[none:Calculation_334673811823804420:nk]"", ""member"": ""true"", ""{http://www.tableausoftware.com/xml/user}ui-domain"": ""relevant"", ""{http://www.tableausoftware.com/xml/user}ui-enumeration"": ""inclusive"", ""{http://www.tableausoftware.com/xml/user}ui-marker"": ""enumerate""}]"
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Características- Filtro Indicador,[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:INDICADOR_NOMBRE (Indicadores):nk],categorical,"{""class"": ""categorical"", ""column"": ""[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:INDICADOR_NOMBRE (Indicadores):nk]"", ""filter-group"": ""7""}","[{""function"": ""level-members"", ""level"": ""[none:INDICADOR_NOMBRE (Indicadores):nk]"", ""{http://www.tableausoftware.com/xml/user}ui-enumeration"": ""all"", ""{http://www.tableausoftware.com/xml/user}ui-marker"": ""enumerate""}]"
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Características- Filtro Indicador,[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:UNIDAD_GEOGRAFICA_NOMBRE:nk],categorical,"{""class"": ""categorical"", ""column"": ""[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:UNIDAD_GEOGRAFICA_NOMBRE:nk]"", ""filter-group"": ""17""}","[{""function"": ""level-members"", ""level"": ""[none:UNIDAD_GEOGRAFICA_NOMBRE:nk]"", ""{http://www.tableausoftware.com/xml/user}ui-enumeration"": ""all"", ""{http://www.tableausoftware.com/xml/user}ui-marker"": ""enumerate""}]"
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Cruces Relevantes - Aperturas - Barras,[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[DATOS_APERTURAS_1],categorical,"{""class"": ""categorical"", ""column"": ""[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[DATOS_APERTURAS_1]"", ""filter-group"": ""14""}","[{""function"": ""level-members"", ""level"": ""[TIPO_DE_DATO]"", ""{http://www.tableausoftware.com/xml/user}ui-enumeration"": ""all"", ""{http://www.tableausoftware.com/xml/user}ui-marker"": ""enumerate""}]"
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Cruces Relevantes - Aperturas - Barras,[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[attr:APERTURA_DESCRIPCION:nk],categorical,"{""class"": ""categorical"", ""column"": ""[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[attr:APERTURA_DESCRIPCION:nk]""}","[{""function"": ""level-members"", ""level"": ""[attr:APERTURA_DESCRIPCION:nk]"", ""{http://www.tableausoftware.com/xml/user}ui-enumeration"": ""all"", ""{http://www.tableausoftware.com/xml/user}ui-marker"": ""enumerate""}]"
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Cruces Relevantes - Aperturas - Barras,[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:ANIO:ok],categorical,"{""class"": ""categorical"", ""column"": ""[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:ANIO:ok]"", ""filter-group"": ""5""}","[{""function"": ""level-members"", ""level"": ""[none:ANIO:ok]"", ""{http://www.tableausoftware.com/xml/user}ui-enumeration"": ""all"", ""{http://www.tableausoftware.com/xml/user}ui-marker"": ""enumerate""}]"
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Cruces Relevantes - Aperturas - Barras,[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:APERTURA_DESCRIPCION:nk],categorical,"{""class"": ""categorical"", ""column"": ""[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:APERTURA_DESCRIPCION:nk]"", ""filter-group"": ""15""}","[{""function"": ""level-members"", ""level"": ""[none:APERTURA_DESCRIPCION:nk]"", ""{http://www.tableausoftware.com/xml/user}ui-enumeration"": ""all"", ""{http://www.tableausoftware.com/xml/user}ui-marker"": ""enumerate""}]"
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Cruces Relevantes - Aperturas - Barras,[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:BTN Mostrar Gráficos Caracteristicas (copy)_54254335857942529:nk],categorical,"{""class"": ""categorical"", ""column"": ""[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:BTN Mostrar Gráficos Caracteristicas (copy)_54254335857942529:nk]""}","[{""function"": ""member"", ""level"": ""[none:BTN Mostrar Gráficos Caracteristicas (copy)_54254335857942529:nk]"", ""member"": ""true"", ""{http://www.tableausoftware.com/xml/user}ui-domain"": ""relevant"", ""{http://www.tableausoftware.com/xml/user}ui-enumeration"": ""inclusive"", ""{http://www.tableausoftware.com/xml/user}ui-marker"": ""enumerate""}]"
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Cruces Relevantes - Aperturas - Barras,[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:Calculation_334673811823804420:nk],categorical,"{""class"": ""categorical"", ""column"": ""[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:Calculation_334673811823804420:nk]"", ""filter-group"": ""27""}","[{""function"": ""member"", ""level"": ""[none:Calculation_334673811823804420:nk]"", ""member"": ""true"", ""{http://www.tableausoftware.com/xml/user}ui-domain"": ""relevant"", ""{http://www.tableausoftware.com/xml/user}ui-enumeration"": ""inclusive"", ""{http://www.tableausoftware.com/xml/user}ui-marker"": ""enumerate""}]"
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Cruces Relevantes - Aperturas - Barras,[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:Calculation_334673811825987589:nk],categorical,"{""class"": ""categorical"", ""column"": ""[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:Calculation_334673811825987589:nk]""}","[{""function"": ""member"", ""level"": ""[none:Calculation_334673811825987589:nk]"", ""member"": ""true"", ""{http://www.tableausoftware.com/xml/user}ui-domain"": ""relevant"", ""{http://www.tableausoftware.com/xml/user}ui-enumeration"": ""inclusive"", ""{http://www.tableausoftware.com/xml/user}ui-marker"": ""enumerate""}]"
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Cruces Relevantes - Aperturas - Barras,[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:Calculation_5425289489148153872:nk],categorical,"{""class"": ""categorical"", ""column"": ""[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:Calculation_5425289489148153872:nk]""}","[{""function"": ""member"", ""level"": ""[none:Calculation_5425289489148153872:nk]"", ""member"": ""false"", ""{http://www.tableausoftware.com/xml/user}ui-domain"": ""relevant"", ""{http://www.tableausoftware.com/xml/user}ui-enumeration"": ""inclusive"", ""{http://www.tableausoftware.com/xml/user}ui-marker"": ""enumerate""}]"
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Cruces Relevantes - Aperturas - Barras,[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:INDICADOR_NOMBRE (Indicadores):nk],categorical,"{""class"": ""categorical"", ""column"": ""[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:INDICADOR_NOMBRE (Indicadores):nk]"", ""filter-group"": ""3""}","[{""function"": ""level-members"", ""level"": ""[none:INDICADOR_NOMBRE (Indicadores):nk]"", ""{http://www.tableausoftware.com/xml/user}ui-enumeration"": ""all"", ""{http://www.tableausoftware.com/xml/user}ui-marker"": ""enumerate""}]"
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Cruces Relevantes - Aperturas - Barras,[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:UNIDAD_GEOGRAFICA_NOMBRE:nk],categorical,"{""class"": ""categorical"", ""column"": ""[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:UNIDAD_GEOGRAFICA_NOMBRE:nk]"", ""filter-group"": ""23""}","[{""function"": ""level-members"", ""level"": ""[none:UNIDAD_GEOGRAFICA_NOMBRE:nk]"", ""{http://www.tableausoftware.com/xml/user}ui-enumeration"": ""all"", ""{http://www.tableausoftware.com/xml/user}ui-marker"": ""enumerate""}]"
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Cruces Relevantes - Aperturas - Barras,[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:Visualizar Desagregaciones (copia)_541839333440749569:qk],quantitative,"{""class"": ""quantitative"", ""column"": ""[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:Visualizar Desagregaciones (copia)_541839333440749569:qk]"", ""included-values"": ""in-range-or-null""}",[]
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Cruces Relevantes - Aperturas - Tabla,[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[DATOS_APERTURAS_1],categorical,"{""class"": ""categorical"", ""column"": ""[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[DATOS_APERTURAS_1]"", ""filter-group"": ""14""}","[{""function"": ""level-members"", ""level"": ""[TIPO_DE_DATO]"", ""{http://www.tableausoftware.com/xml/user}ui-enumeration"": ""all"", ""{http://www.tableausoftware.com/xml/user}ui-marker"": ""enumerate""}]"
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Cruces Relevantes - Aperturas - Tabla,[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:ANIO:ok],categorical,"{""class"": ""categorical"", ""column"": ""[federated.0qiz8oi1sb3cd813zi06q01yhyh5].[none:ANIO:ok]"", ""filter-group"": ""5""}","[{""function"": ""level-members"", ""level"": ""[none:ANIO:ok]"", ""{http://www.tableausoftware.com/xml/user}ui-enumeration"": ""all"", ""{http://www.tableausoftware.com/xml/user}ui-marker"": ""enumerate""}]"
